price,stock_xfer_date
399.79,2023-02-14
369.24,2023-02-28
417.76,2023-02-20
155.57,2023-01-03
63.09,2023-02-09
400.29,2023-01-16
11.58,2023-01-05
125.31,2023-01-19
68.93,2023-01-30
477.92,2023-02-18
230.07,2023-01-02
376.68,2023-02-26
227.25,2023-02-14
21.88,2023-01-30
262.51,2023-02-05
371.76,2023-03-12
344.73,2023-02-27
61.32,2023-01-27
388.23,2023-02-03
477.49,2023-03-06
331.01,2023-01-23
121.01,2023-02-15
432.78,2023-03-10
231.04,2023-02-25
179.31,2023-02-19
355.93,2023-01-16
237.55,2023-01-23
71.31,2023-02-02
277.24,2023-01-30
412.86,2023-02-16
253.11,2023-03-10
220.22,2023-01-31
465.36,2023-02-16
405.35,2023-01-20
210.25,2023-01-11
397.63,2023-01-13
424.39,2023-01-25
54.64,2023-01-22
193.03,2023-01-12
85.35,2023-02-05
340.2,2023-03-09
60.07,2023-02-11
311.69,2023-03-13
428.2,2023-03-07
138.48,2023-02-11
193.74,2023-03-01
221.17,2023-03-08
399.93,2023-02-10
21.35,2023-01-05
210.9,2023-02-12
265.75,2023-01-04
381.16,2023-01-08
216.19,2023-01-12
205.96,2023-01-24
499.77,2023-02-10
492.59,2023-02-05
265.29,2023-01-23
124.65,2023-02-25
422.58,2023-01-21
445.37,2023-02-24
460.95,2023-03-05
445.74,2023-03-10
88.67,2023-02-09
408.77,2023-02-09
346.5,2023-01-22
142.2,2023-01-20
313.04,2023-01-06
242.7,2023-03-06
27.88,2023-02-25
253.5,2023-02-26
483.8,2023-02-28
307.93,2023-01-02
316.25,2023-02-14
239.28,2023-01-17
28.68,2023-02-16
60.92,2023-01-27
16.95,2023-02-25
162.14,2023-02-12
162.79,2023-02-19
367.17,2023-02-28
270.07,2023-01-03
492.54,2023-02-25
401.25,2023-02-04
178.68,2023-01-12
154.54,2023-01-30
272.32,2023-03-01
158.57,2023-03-09
256.78,2023-02-27
377.98,2023-02-27
109.49,2023-02-07
199.99,2023-01-07
30.63,2023-02-28
432.3,2023-02-28
479.88,2023-01-08
118.19,2023-02-12
315.5,2023-01-06
295.1,2023-03-10
133.67,2023-01-17
498.44,2023-01-23
138.73,2023-01-18
216.83,2023-01-08
362.37,2023-02-16
384.15,2023-03-09
47.48,2023-03-12
71.47,2023-03-07
39.64,2023-01-10
496.91,2023-02-04
466.61,2023-01-04
419,2023-03-06
373.45,2023-02-08
255.46,2023-01-09
315.42,2023-02-02
101.02,2023-02-06
417.59,2023-01-04
390.7,2023-03-07
455.31,2023-02-22
36.25,2023-01-30
320.97,2023-02-04
10.57,2023-01-18
310.43,2023-02-19
407.49,2023-03-04
438.52,2023-03-07
336.46,2023-03-05
212.34,2023-02-14
103.41,2023-01-13
132.88,2023-01-18
404.68,2023-02-04
250.12,2023-02-22
74.3,2023-03-11
252.49,2023-02-19
453.99,2023-01-05
302.02,2023-01-07
499.63,2023-02-24
323.34,2023-03-01
429.46,2023-01-23
268.91,2023-03-08
162.12,2023-02-09
142.91,2023-01-26
349.83,2023-02-13
490.88,2023-03-13
220.48,2023-01-18
110.23,2023-01-08
76.78,2023-01-14
201.38,2023-03-10
328.47,2023-02-15
378.99,2023-01-15
404.7,2023-02-06
286.39,2023-03-13
294.49,2023-02-12
114.82,2023-02-02
273.2,2023-02-18
93.55,2023-01-20
219.57,2023-02-25
118.42,2023-01-14
133.13,2023-03-03
345.77,2023-01-26
452.54,2023-01-10
159.83,2023-02-11
104.61,2023-03-06
258.8,2023-02-22
134.66,2023-02-01
169.06,2023-02-25
279.95,2023-02-27
195.64,2023-01-13
255.04,2023-01-24
370.51,2023-03-10
97.19,2023-03-12
25.84,2023-02-03
464.8,2023-02-14
144.42,2023-03-11
471.05,2023-03-08
289.02,2023-03-07
256.68,2023-01-25
61,2023-01-12
476.35,2023-02-10
266.33,2023-02-20
25.14,2023-03-02
32.62,2023-01-30
478.26,2023-01-17
449.59,2023-03-06
402.7,2023-03-03
147.38,2023-02-18
231.27,2023-03-06
290.97,2023-02-10
22.15,2023-02-08
91.7,2023-02-14
207.49,2023-01-06
328.17,2023-03-12
71.94,2023-02-07
251.16,2023-01-17
333.44,2023-03-04
365.01,2023-03-11
91.28,2023-01-20
267.5,2023-03-12
214.79,2023-02-11
394.75,2023-02-24
386.67,2023-02-12
225.7,2023-01-25
34.48,2023-01-15
27.31,2023-02-09
437.87,2023-02-08
69.16,2023-01-31
456.84,2023-01-01
85.16,2023-01-02
26.29,2023-03-08
165.66,2023-03-02
269.69,2023-01-21
147.85,2023-01-20
115.67,2023-02-18
136.54,2023-03-09
25.59,2023-01-19
379.43,2023-03-13
371.57,2023-03-08
144.47,2023-01-15
189.7,2023-03-14
60.93,2023-02-20
50.4,2023-01-04
72.68,2023-03-05
173.95,2023-01-22
311.7,2023-01-22
265.48,2023-03-12
179.25,2023-02-03
225.7,2023-02-14
423.17,2023-02-20
68.19,2023-02-05
46.06,2023-02-01
167.45,2023-02-23
473.91,2023-01-27
168.62,2023-03-09
432.47,2023-01-26
61.49,2023-01-04
124.16,2023-01-31
119.95,2023-02-06
317.73,2023-01-25
77.64,2023-02-17
393.78,2023-03-11
181.91,2023-03-07
481.42,2023-01-01
280.76,2023-01-31
57.03,2023-01-20
431.25,2023-03-12
144.5,2023-01-20
310.72,2023-01-31
487.45,2023-01-17
190.59,2023-01-07
224.97,2023-01-13
427.04,2023-03-09
118.5,2023-02-13
171.8,2023-02-02
248.94,2023-02-16
103.5,2023-02-17
80.45,2023-01-28
299.9,2023-02-24
18.19,2023-03-14
451.19,2023-02-18
153.5,2023-01-26
309.07,2023-02-19
133.19,2023-02-08
295.23,2023-01-24
476.3,2023-03-12
443.13,2023-02-18
257.19,2023-03-14
349.43,2023-02-27
440.67,2023-01-16
180.2,2023-02-23
280.37,2023-01-05
350.92,2023-02-24
299.86,2023-02-18
247.06,2023-01-21
193.4,2023-02-06
150,2023-01-17
153.8,2023-02-24
328.05,2023-02-22
128.28,2023-01-10
131.5,2023-01-21
210.79,2023-01-16
141.85,2023-01-27
335.08,2023-03-03
311.61,2023-01-30
422.35,2023-02-04
398.16,2023-03-10
112.07,2023-02-02
434.15,2023-01-13
178.5,2023-02-03
432.83,2023-03-09
397.69,2023-03-08
122.8,2023-03-09
328.95,2023-01-24
459.17,2023-01-16
492.09,2023-01-03
145.28,2023-03-11
25.56,2023-01-02
441.08,2023-02-26
182.15,2023-02-16
280.83,2023-03-02
40.51,2023-02-06
133.61,2023-01-10
489.43,2023-01-09
493.45,2023-01-04
263.11,2023-02-09
270.03,2023-01-02
493.74,2023-01-01
102.06,2023-02-21
338.06,2023-01-04
39.5,2023-02-23
429.1,2023-02-27
268.15,2023-01-02
171.7,2023-01-01
206.33,2023-01-31
458.86,2023-01-13
125.53,2023-02-02
349.39,2023-02-24
243.09,2023-01-05
267.67,2023-01-17
98.99,2023-01-19
39.93,2023-02-02
58.13,2023-01-30
397.18,2023-03-04
165.38,2023-01-16
124.79,2023-02-10
395.36,2023-01-01
131.38,2023-01-12
404.86,2023-01-24
394.98,2023-02-10
476.31,2023-02-07
45.34,2023-01-24
94.78,2023-01-08
14.82,2023-01-10
356.18,2023-01-08
106.63,2023-01-22
378.72,2023-02-13
125.25,2023-03-02
92.94,2023-02-19
271.06,2023-03-06
132.17,2023-02-02
129.18,2023-02-09
171.28,2023-01-12
464.92,2023-03-02
240.73,2023-03-05
253.21,2023-02-23
405.57,2023-02-02
453.64,2023-02-14
106.64,2023-03-13
36.5,2023-02-18
174.55,2023-01-02
468.8,2023-01-14
130.02,2023-02-22
159.58,2023-02-17
38.8,2023-02-26
424.75,2023-01-17
55.21,2023-03-14
202.58,2023-02-20
326.28,2023-02-05
40.68,2023-02-01
24.57,2023-02-03
194.82,2023-01-20
332.67,2023-03-02
392.12,2023-01-31
221.09,2023-02-14
327.17,2023-02-25
296.67,2023-02-25
335.72,2023-02-02
196.94,2023-01-30
387.36,2023-02-12
196.51,2023-02-23
496.58,2023-01-10
75.45,2023-01-14
243.85,2023-01-28
338.1,2023-01-19
405.72,2023-01-14
48.9,2023-02-27
244.72,2023-02-10
166.59,2023-03-14
398.28,2023-02-10
86.72,2023-02-09
362.64,2023-03-04
199.29,2023-02-25
78.14,2023-02-09
124.56,2023-01-07
117.54,2023-02-01
200.45,2023-01-01
141.4,2023-01-17
321.63,2023-03-13
58.52,2023-02-02
305.75,2023-01-22
212.5,2023-02-20
486.38,2023-01-18
176.76,2023-01-03
424.98,2023-03-11
198.7,2023-03-09
489.55,2023-01-30
159.1,2023-02-16
73.97,2023-03-04
314.35,2023-03-01
261.39,2023-02-16
60.28,2023-03-14
99.3,2023-01-13
369.11,2023-03-05
48.29,2023-02-09
326.9,2023-02-15
106.23,2023-02-09
428.68,2023-01-29
199.9,2023-02-15
448.64,2023-01-04
349.78,2023-03-04
479.24,2023-02-20
161.32,2023-02-15
98.43,2023-01-18
158.24,2023-03-10
388.38,2023-02-09
448.91,2023-03-05
393.76,2023-02-10
34.93,2023-02-01
216.49,2023-02-26
401.84,2023-02-04
145.13,2023-01-11
463.02,2023-03-04
237.62,2023-02-16
284.05,2023-01-23
459.24,2023-02-22
103.19,2023-01-13
199.84,2023-02-10
471.99,2023-03-07
215.05,2023-02-26
149.81,2023-01-07
186.9,2023-01-18
184.9,2023-01-05
392.83,2023-03-11
410.7,2023-01-04
50.6,2023-01-21
197.18,2023-01-14
432.99,2023-01-04
123.03,2023-02-27
420,2023-01-04
283.1,2023-01-02
165.39,2023-01-04
382.03,2023-02-14
450.33,2023-01-22
493.26,2023-01-13
250.92,2023-02-07
190.02,2023-02-08
131.9,2023-03-07
435.17,2023-02-17
46.43,2023-03-09
242.6,2023-02-08
145.64,2023-02-21
374.34,2023-01-05
392.12,2023-01-21
53.91,2023-01-10
468.1,2023-02-08
362.88,2023-01-25
498.94,2023-02-18
422.27,2023-02-26
142.07,2023-01-20
384.04,2023-01-24
294.16,2023-01-20
392.23,2023-02-03
386.46,2023-01-12
207.32,2023-01-31
453.88,2023-01-26
148.18,2023-02-17
247.77,2023-02-14
311.04,2023-03-13
10.32,2023-01-28
66.38,2023-03-08
280.06,2023-03-12
431.16,2023-02-04
316.4,2023-02-16
130.83,2023-01-10
240.24,2023-01-21
117.55,2023-01-31
380.6,2023-01-31
366.44,2023-01-19
481.65,2023-03-08
253.42,2023-03-11
453.06,2023-01-03
40.48,2023-02-25
312.28,2023-03-06
323.65,2023-01-13
426,2023-03-10
419.67,2023-01-04
421.58,2023-02-24
487.77,2023-03-10
185.4,2023-02-12
355.92,2023-01-01
177.62,2023-02-01
388.26,2023-02-15
375.48,2023-03-10
153.41,2023-02-02
270.7,2023-02-09
318.5,2023-02-15
62.9,2023-01-13
489.07,2023-01-29
290.39,2023-03-08
296.08,2023-02-28
174.24,2023-01-08
475.8,2023-02-03
24.37,2023-02-17
237.78,2023-03-11
463.59,2023-03-07
166.48,2023-01-11
81.39,2023-02-21
90.44,2023-01-16
30.49,2023-01-28
203.84,2023-01-16
460.16,2023-01-12
333.45,2023-01-21
319.78,2023-01-31
331.41,2023-03-08
20.96,2023-03-07
474.52,2023-02-26
146.12,2023-01-18
61.5,2023-01-28
255.15,2023-02-18
386.17,2023-02-09
314.83,2023-02-26
278.17,2023-01-06
379.16,2023-03-05
182.65,2023-01-21
53.5,2023-02-02
428.37,2023-02-16
424.02,2023-03-07
423.68,2023-02-28
494.15,2023-03-12
100.05,2023-01-05
356.57,2023-01-09
229.35,2023-01-30
24.7,2023-02-13
266.63,2023-02-06
221.98,2023-02-01
412.79,2023-02-26
131.93,2023-03-07
115.52,2023-02-16
434.97,2023-01-15
408.48,2023-01-26
46.69,2023-02-19
169.72,2023-03-02
353.7,2023-01-17
36.53,2023-01-09
249.79,2023-03-01
158.72,2023-02-05
388.12,2023-01-24
370.82,2023-03-10
147.62,2023-01-18
407.53,2023-01-23
75,2023-02-24
318.03,2023-01-29
268.81,2023-02-21
197.3,2023-02-08
485.39,2023-01-31
427.96,2023-01-17
153.46,2023-02-12
292.6,2023-01-08
116.82,2023-03-06
397.29,2023-02-04
97.8,2023-02-28
351.4,2023-01-06
428.27,2023-03-09
265.49,2023-03-12
196.88,2023-03-04
296.12,2023-01-09
253.6,2023-02-23
291.88,2023-01-03
418.74,2023-01-23
40.6,2023-01-31
497.47,2023-01-01
446.35,2023-02-01
315.65,2023-02-22
246.59,2023-03-09
356.55,2023-01-13
409.9,2023-02-22
371.59,2023-02-18
390.75,2023-01-18
467.33,2023-01-23
336.48,2023-02-10
141.73,2023-02-14
303.24,2023-02-13
344.14,2023-02-27
210.05,2023-01-10
147.95,2023-02-03
434.99,2023-01-30
201.54,2023-02-14
149.42,2023-02-24
48.82,2023-02-11
356.01,2023-01-11
356.07,2023-03-10
316.46,2023-02-04
127.9,2023-02-14
480.88,2023-02-03
156.53,2023-03-03
37.73,2023-02-25
95.86,2023-02-15
140.14,2023-01-09
215.42,2023-03-10
297.87,2023-02-10
383.38,2023-02-22
243.13,2023-03-14
312.79,2023-02-24
98.47,2023-02-22
276.47,2023-02-23
143.91,2023-02-11
379.11,2023-03-14
416.32,2023-01-07
476.62,2023-02-09
352.61,2023-01-10
126.63,2023-01-24
490.72,2023-02-05
114.78,2023-01-25
144.03,2023-02-09
216.93,2023-01-11
262.5,2023-02-03
180.83,2023-01-30
438.97,2023-01-28
128.91,2023-03-11
162.24,2023-01-31
181.02,2023-03-03
167.07,2023-01-05
60.53,2023-01-01
14.7,2023-02-04
12.2,2023-02-14
234.36,2023-03-05
91.49,2023-02-06
231.95,2023-01-11
99.56,2023-01-26
458.98,2023-02-27
88.07,2023-02-15
458.3,2023-01-15
276.19,2023-03-02
232.14,2023-02-08
259.02,2023-01-04
27.58,2023-01-11
11.81,2023-01-06
427,2023-02-02
37.4,2023-01-29
31.55,2023-01-07
138.57,2023-01-27
400.88,2023-02-09
210.47,2023-01-09
171.64,2023-01-06
373.44,2023-01-19
484.68,2023-03-03
290.19,2023-03-08
398.64,2023-01-01
274.7,2023-01-24
171.61,2023-01-15
27.74,2023-02-03
480.31,2023-01-11
235.96,2023-02-20
483.15,2023-01-07
439.69,2023-01-28
445.02,2023-01-01
405.5,2023-01-29
417.51,2023-02-10
90.08,2023-01-13
140.52,2023-03-12
408.89,2023-02-23
210.85,2023-02-26
364.9,2023-03-07
305.28,2023-02-17
141.33,2023-01-17
30.94,2023-01-11
244.11,2023-01-05
58.51,2023-03-05
301.61,2023-01-23
495.89,2023-02-14
21.48,2023-03-01
204.5,2023-02-10
149.24,2023-01-02
295.37,2023-01-06
340.55,2023-02-14
192.25,2023-01-03
44.09,2023-02-10
233.03,2023-01-12
351.6,2023-02-04
129.28,2023-01-21
161.73,2023-01-02
34.5,2023-01-14
470.41,2023-01-15
356.67,2023-01-18
74,2023-02-04
21.88,2023-01-15
40.3,2023-03-14
74.74,2023-03-07
455.44,2023-02-12
23.46,2023-02-12
115.08,2023-01-31
362.18,2023-01-23
92.12,2023-03-03
290.18,2023-03-06
479.37,2023-01-01
428.24,2023-01-10
130.59,2023-01-14
99.65,2023-02-15
43.41,2023-02-27
340.8,2023-02-24
496.81,2023-01-21
267.28,2023-02-20
212.28,2023-01-28
277.33,2023-02-23
121.51,2023-02-12
25.8,2023-02-02
62.37,2023-02-13
237.02,2023-01-25
348.81,2023-03-06
237.73,2023-01-19
37.15,2023-02-01
339.36,2023-01-09
256.21,2023-01-02
246.71,2023-02-16
184.96,2023-01-01
137.67,2023-01-21
253.49,2023-01-24
484.43,2023-03-13
153.85,2023-01-26
364.33,2023-02-09
99.06,2023-01-18
86.62,2023-02-27
294.65,2023-01-24
207.48,2023-03-05
165.33,2023-03-06
451.23,2023-03-13
41.6,2023-02-19
145.34,2023-01-23
301.38,2023-02-27
317.01,2023-03-04
13.16,2023-02-04
121.83,2023-01-26
469.23,2023-02-09
450.8,2023-02-09
218.18,2023-01-19
291.25,2023-01-16
257.31,2023-03-04
183.22,2023-02-15
370.56,2023-02-19
219.98,2023-03-14
208.22,2023-01-01
470.29,2023-02-18
405.23,2023-01-25
248.47,2023-03-12
378.46,2023-02-26
20.28,2023-02-10
359.02,2023-01-15
299.86,2023-03-13
332.54,2023-01-07
228.53,2023-01-25
468.1,2023-02-27
124.74,2023-02-11
306.53,2023-02-06
488.04,2023-01-07
397.58,2023-02-16
157.14,2023-01-23
16.58,2023-01-16
46.54,2023-02-16
244.91,2023-03-04
383.14,2023-02-15
284.84,2023-01-26
126.43,2023-02-03
63.13,2023-02-23
379.59,2023-03-01
470.27,2023-02-28
18.39,2023-01-27
435.87,2023-02-22
59.3,2023-01-07
16.8,2023-02-11
87.17,2023-03-04
270.22,2023-01-15
19.56,2023-03-05
342.91,2023-02-04
417.53,2023-01-05
11.02,2023-02-04
266.15,2023-01-03
13.49,2023-02-04
178.97,2023-01-26
385.4,2023-02-01
318.9,2023-03-11
297.88,2023-02-08
147.23,2023-01-18
37.11,2023-03-12
157.07,2023-01-02
237.34,2023-01-15
61.67,2023-01-23
150.49,2023-01-23
271.23,2023-03-02
402.63,2023-01-05
27.16,2023-02-24
279,2023-02-24
44.59,2023-02-03
424.1,2023-02-20
52.97,2023-03-14
373.12,2023-02-08
93.06,2023-02-05
412.35,2023-02-19
147.78,2023-01-29
141.85,2023-01-01
102.11,2023-01-10
14.87,2023-03-11
151.97,2023-02-13
473.18,2023-02-19
32.79,2023-01-01
377.75,2023-03-04
105.34,2023-02-20
411.89,2023-03-10
481.94,2023-03-02
415.83,2023-02-03
126.67,2023-01-26
245.41,2023-01-04
386.11,2023-03-13
39.65,2023-02-25
368.48,2023-01-22
241.68,2023-01-29
133.47,2023-02-16
182.51,2023-02-09
494.22,2023-03-05
204.02,2023-03-13
464.58,2023-01-11
54.86,2023-01-22
138.68,2023-02-28
91.1,2023-01-29
88.93,2023-02-23
274.54,2023-01-28
31.49,2023-02-25
306.71,2023-01-23
211.68,2023-01-22
144.62,2023-03-14
136.2,2023-02-09
111.32,2023-02-17
284.36,2023-03-07
453.58,2023-01-04
55.04,2023-03-02
250.05,2023-02-16
478.18,2023-01-23
353.75,2023-02-09
246.86,2023-01-17
63.79,2023-01-31
417.29,2023-03-12
154.36,2023-01-12
269.96,2023-01-29
419.19,2023-01-21
362.84,2023-02-02
205.66,2023-01-29
396.04,2023-02-17
377.79,2023-01-13
249.85,2023-02-26
289.04,2023-03-08
418.75,2023-02-01
195.21,2023-01-24
173.82,2023-01-16
72.05,2023-01-05
345.9,2023-03-12
59.6,2023-01-28
412.02,2023-03-09
189.97,2023-01-31
30.45,2023-02-19
249.36,2023-02-01
423.82,2023-01-27
138.24,2023-03-07
17.33,2023-02-19
41.11,2023-03-13
426.64,2023-03-06
300.82,2023-02-21
227.75,2023-01-13
51.46,2023-01-06
358.25,2023-02-15
244.27,2023-01-29
458.22,2023-03-06
37.64,2023-01-16
50.87,2023-01-05
156.98,2023-01-29
248.33,2023-01-14
279.95,2023-02-11
230.89,2023-01-18
478.64,2023-01-27
61.31,2023-02-09
47.81,2023-02-19
162.96,2023-02-19
220.86,2023-01-15
128.69,2023-01-31
174.61,2023-01-29
443.71,2023-01-22
155.08,2023-02-16
139.24,2023-01-22
333.43,2023-01-10
288.64,2023-02-28
26.83,2023-02-16
176.94,2023-01-25
307.31,2023-01-31
141.63,2023-02-14
81.82,2023-01-08
281.93,2023-03-02
28.09,2023-03-02
216.89,2023-01-25
468.94,2023-01-03
66.01,2023-01-20
294.88,2023-03-01
106.52,2023-02-16
386.79,2023-01-23
68.4,2023-02-16
12.42,2023-02-06
290.37,2023-01-24
133.98,2023-01-22
390.65,2023-01-19
233.6,2023-01-09
193,2023-01-13
373.74,2023-01-31
107.5,2023-02-15
139.48,2023-02-06
403.79,2023-01-24
208.41,2023-01-23
59.85,2023-01-15
281.54,2023-01-02
323.25,2023-03-04
209.15,2023-01-18
245.09,2023-02-20
107.14,2023-02-26
310.1,2023-01-16
392.08,2023-02-19
498.91,2023-03-11
220.63,2023-03-04
16.08,2023-01-22
478.35,2023-01-07
290.28,2023-01-27
322.9,2023-02-25
65.17,2023-01-08
487.52,2023-02-09
22.93,2023-02-25
391.05,2023-01-18
37.96,2023-02-14
126.97,2023-03-07
354.61,2023-01-06
491.96,2023-02-07
349.38,2023-02-20
97.35,2023-01-27
462.84,2023-02-17
114.27,2023-03-02
279.05,2023-02-13
214.28,2023-02-19
449.9,2023-02-14
311.45,2023-03-13
295.49,2023-02-28
438.43,2023-01-09
43.62,2023-01-29
288.37,2023-02-06
395.6,2023-01-07
434.22,2023-03-09
15.02,2023-03-14
41.99,2023-03-10
347.67,2023-03-07
486.25,2023-01-18
437.17,2023-03-02
28.41,2023-02-24
92.13,2023-03-01
56.86,2023-01-01
404.01,2023-01-04
135.67,2023-01-08
171.44,2023-01-13
196.51,2023-01-02
321.13,2023-01-15
357.53,2023-02-19
235.54,2023-02-21
413.62,2023-02-18
397.96,2023-01-13
151.68,2023-02-23
379.62,2023-03-02
406,2023-01-08
266.71,2023-02-24
287.07,2023-02-03
110.25,2023-03-14
207.51,2023-01-28
90.2,2023-02-08
492.2,2023-01-09
399.78,2023-03-08
308.4,2023-01-06
256.22,2023-03-07
40.06,2023-01-26
416.91,2023-01-20
64.82,2023-03-11
220.71,2023-02-01
397.98,2023-02-15
107.13,2023-03-07
67.64,2023-02-28
250.61,2023-02-06
81.56,2023-01-09
354.51,2023-03-03
81.3,2023-02-12
452.33,2023-01-11
131.39,2023-03-11
342.57,2023-01-24
399.38,2023-02-27
71.09,2023-02-24
377.79,2023-01-19
202.51,2023-03-14
217.21,2023-02-26
119.13,2023-01-06
367.76,2023-03-09
296.29,2023-01-16
26.92,2023-02-20
442.66,2023-02-11
13.67,2023-01-13
393.67,2023-01-24
40.4,2023-02-09
31.18,2023-01-05
343.92,2023-02-27
289.32,2023-03-07
389.47,2023-02-02
414.06,2023-01-05
351.63,2023-02-17
215.37,2023-02-11
38.38,2023-03-03
330.35,2023-01-22
356.05,2023-01-12
21.39,2023-03-07
72.92,2023-03-06
277.79,2023-01-01
112.02,2023-02-13
423.01,2023-03-03
277.18,2023-01-08
303.86,2023-02-22
19.02,2023-01-10
34.31,2023-02-06
366.97,2023-01-20
296.12,2023-01-16
363.42,2023-02-11
371.53,2023-02-09
435.65,2023-01-29
479.22,2023-01-25
54.47,2023-03-12
483.25,2023-02-04
473.77,2023-02-02
29.12,2023-02-20
63.27,2023-02-26
195.87,2023-01-06
210.63,2023-02-12
61.98,2023-02-23
183.59,2023-01-12
337.28,2023-03-07
167.29,2023-02-05
413.78,2023-02-14
419.1,2023-01-08
221.1,2023-01-01
298.78,2023-01-11
284.6,2023-01-01
374.13,2023-02-12
158.21,2023-01-08
139.95,2023-01-15
421.49,2023-02-22
364.59,2023-03-14
281.05,2023-01-14
56.9,2023-01-21
106.61,2023-03-14
285.51,2023-01-28
242.6,2023-02-16
160.88,2023-03-14
386.8,2023-02-10
166.67,2023-02-19
143.76,2023-01-02
236.64,2023-02-07
313.97,2023-01-13
218.84,2023-02-21
215.79,2023-02-15
398.25,2023-01-29
182.84,2023-03-02
203.75,2023-03-06
403.41,2023-01-12
240.36,2023-03-12
496.42,2023-02-20
81.68,2023-01-25
78.74,2023-02-12
184.16,2023-03-02
181.9,2023-01-19
29.71,2023-02-06
19.84,2023-01-05
434.49,2023-02-03
151.46,2023-01-13
120.22,2023-02-17
318.52,2023-01-21
183.54,2023-02-19
253.61,2023-03-04
308.96,2023-01-20
257.82,2023-01-08
96.07,2023-03-08
431.76,2023-01-04
244.18,2023-02-19
380.86,2023-01-02
407.76,2023-02-15
266.08,2023-03-04
491.39,2023-02-08
324.9,2023-02-05
374.17,2023-01-08
439.3,2023-01-23
219.57,2023-02-04
212.01,2023-01-09
374.24,2023-03-13
18.15,2023-01-23
442.44,2023-02-19
462.06,2023-02-17
208.68,2023-02-14
389.55,2023-02-08
158.65,2023-01-07
66.17,2023-03-10
497.13,2023-02-06
372.76,2023-02-17
40.83,2023-01-03
454.52,2023-03-13
105.08,2023-01-20
402.18,2023-03-12
124.57,2023-01-17
73.64,2023-02-20
355.08,2023-02-13
32.76,2023-02-16
20.17,2023-02-13
188.1,2023-02-13
418.05,2023-03-10
409.6,2023-01-18
53.96,2023-01-30
196.9,2023-02-19
38.13,2023-03-11
91.28,2023-02-11
79.34,2023-02-21
302.04,2023-03-14
203.96,2023-01-06
387.54,2023-01-02
17.26,2023-01-09
78.49,2023-02-28
466.34,2023-01-08
415.14,2023-02-17
43.19,2023-03-05
367.28,2023-03-01
239.87,2023-01-14
292.46,2023-03-13
428.16,2023-02-09
463.48,2023-01-21
99.16,2023-01-23
426.65,2023-02-14
333.37,2023-03-10
233,2023-01-08
214.86,2023-02-06
91.06,2023-01-25
474.19,2023-02-22
309.94,2023-02-04
396.03,2023-03-07
207.28,2023-02-28
161.44,2023-02-26
173,2023-02-01
42.06,2023-03-06
265.28,2023-03-05
106.58,2023-02-05
424.37,2023-03-09
31.02,2023-02-26
154.37,2023-01-13
117.14,2023-01-26
400.5,2023-02-11
364.62,2023-02-10
62.96,2023-01-15
329.89,2023-02-15
224.23,2023-01-03
415.4,2023-03-12
94.72,2023-03-08
362.43,2023-02-12
183.18,2023-02-23
13.57,2023-03-02
36.34,2023-01-25
470.45,2023-01-02
428.09,2023-02-05
180.9,2023-03-02
475.68,2023-02-03
439.17,2023-02-04
80.8,2023-03-08
174.9,2023-01-22
12.8,2023-02-27
145.17,2023-02-07
456,2023-03-12
165.76,2023-02-22
229.8,2023-03-12
114.69,2023-02-18
488.63,2023-02-19
255.12,2023-03-10
71.08,2023-02-24
176.19,2023-01-13
52.28,2023-01-29
341.9,2023-02-14
327.64,2023-02-22
172.73,2023-01-04
401.92,2023-02-10
404.31,2023-01-16
428.91,2023-03-06
43.55,2023-02-18
135.25,2023-03-03
227.51,2023-02-05
268.57,2023-01-29
240.62,2023-01-08
327.8,2023-02-15
285.13,2023-02-27
344.11,2023-01-16
97.98,2023-02-14
195.02,2023-01-27
375.49,2023-02-18
130.81,2023-01-15
375.33,2023-01-31
39.52,2023-02-17
115.35,2023-02-08
362.13,2023-03-13
411.5,2023-01-23
428.47,2023-03-09
239.34,2023-01-25
277.75,2023-01-10
428.16,2023-01-28
241.57,2023-01-10
54.2,2023-02-21
264.62,2023-01-01
278.88,2023-02-28
232.66,2023-03-02
54.58,2023-01-18
10.41,2023-02-15
132.79,2023-01-02
119.91,2023-02-28
102.06,2023-02-07
469.53,2023-02-22
302.07,2023-02-19
59.92,2023-03-05
151.31,2023-01-05
280.55,2023-01-03
130.95,2023-03-10
104.89,2023-02-13
317.04,2023-03-06
419.32,2023-02-01
255.83,2023-03-04
108.66,2023-02-19
376.79,2023-02-16
144.87,2023-03-06
131.76,2023-01-05
225.52,2023-02-20
193.49,2023-01-20
137.63,2023-01-02
196.13,2023-02-17
234.52,2023-01-11
160.18,2023-02-18
108.67,2023-01-26
294.62,2023-01-28
162.45,2023-01-23
427.63,2023-01-04
219.73,2023-02-22
307.48,2023-01-28
325.88,2023-01-02
342.66,2023-02-18
493.09,2023-01-06
491.73,2023-03-11
321.09,2023-02-14
443.15,2023-02-13
94.54,2023-02-15
257.96,2023-01-03
339.92,2023-01-07
491.52,2023-03-14
434.75,2023-01-11
449.4,2023-03-11
365.22,2023-01-29
434.46,2023-01-05
317.12,2023-03-03
487.56,2023-03-06
495.73,2023-02-09
305.77,2023-02-14
262.33,2023-03-02
17.34,2023-01-30
42.7,2023-02-16
20.56,2023-02-04
136.27,2023-01-28
62.86,2023-03-13
223.81,2023-01-14
141.73,2023-03-08
90.3,2023-03-11
213.75,2023-02-01
260.29,2023-02-02
465.55,2023-02-01
98.75,2023-02-02
430.89,2023-03-12
